onset	duration	stim	cond	resp	acc	RT
67.833	0.553	BONDSMAN	lure	n/a	1	n/a
68.4	0.366	URCHIN	lure	n/a	1	n/a
68.783	0.368	RELATION	lure	n/a	1	n/a
69.166	0.834	EMBROIDERY	lure	n/a	1	n/a
70.016	0.501	PUMA	lure	n/a	1	n/a
70.6	1.004	MULBERRY	fruit	detect	1	759
71.616	0.523	IMMUNITY	lure	n/a	1	n/a
72.15	0.595	WAISTCOAT	lure	n/a	1	n/a
72.75	0.34	PIKE	lure	n/a	1	n/a
73.102	0.707	EUPHORIA	lure	n/a	1	n/a
73.821	0.327	SHOWDOWN	lure	n/a	1	n/a
74.166	0.647	COMPOSURE	lure	n/a	1	n/a
74.833	0.362	INITIATION	lure	n/a	1	n/a
75.2	0.793	MANHOOD	lure	n/a	1	n/a
76	0.501	PULSATION	lure	n/a	1	n/a
76.516	1.006	CHERRY	fruit	detect	1	698
77.533	0.448	RUBELLA	lure	n/a	1	n/a
77.999	0.413	HATCHWAY	lure	n/a	1	n/a
78.416	0.33	EMPORIUM	lure	n/a	1	n/a
78.75	0.667	BRAINWAVE	lure	n/a	1	n/a
79.433	0.511	MIRAGE	lure	n/a	1	n/a
79.949	0.578	GARGOYLE	lure	n/a	1	n/a
80.533	0.413	ISLAND	lure	n/a	1	n/a
80.949	1.044	SUCROSE	lure	n/a	1	n/a
81.999	0.501	HOMELAND	lure	n/a	1	n/a
82.583	2.001	DEPOT	long	n/a	1	n/a
84.599	0.452	REVOLUTION	lure	n/a	1	n/a
85.066	0.667	TRANSCRIPT	lure	n/a	1	n/a
85.749	0.606	DICTATION	lure	n/a	1	n/a
86.366	0.622	KNACK	lure	n/a	1	n/a
86.999	0.582	TENET	lure	n/a	1	n/a
87.599	0.392	BRAKEMAN	lure	n/a	1	n/a
87.999	0.501	BUTCHERY	lure	n/a	1	n/a
88.516	0.603	SIGN	short	n/a	1	n/a
89.133	0.447	FRACTURE	lure	n/a	1	n/a
89.599	0.518	MEMBRANE	lure	n/a	1	n/a
90.133	0.407	LARYNX	lure	n/a	1	n/a
90.552	0.31	ACTIVIST	lure	n/a	1	n/a
90.866	0.472	INSPECTION	lure	n/a	1	n/a
91.35	0.549	EXPRESSWAY	lure	n/a	1	n/a
91.916	0.396	MATINEE	lure	n/a	1	n/a
92.316	0.67	GIN	lure	n/a	1	n/a
92.999	0.569	ANNOUNCER	lure	n/a	1	n/a
93.583	0.326	VAN	lure	n/a	1	n/a
93.916	0.337	DEBILITATE	lure	n/a	1	n/a
94.333	0.606	MOPED	lure	n/a	1	n/a
94.95	0.407	ACCURACY	lure	n/a	1	n/a
95.37	0.623	HAZE	lure	n/a	1	n/a
95.999	0.502	DINOSAUR	lure	n/a	1	n/a
96.516	2.002	SHELL	long	n/a	1	n/a
98.533	0.639	TRIAD	lure	n/a	1	n/a
99.183	0.7	ATROCITY	lure	n/a	1	n/a
99.899	0.423	PIPETTE	lure	n/a	1	n/a
100.332	0.565	LOGGER	lure	n/a	1	n/a
100.916	0.457	LEGIBILITY	lure	n/a	1	n/a
101.382	0.62	ROCKETRY	lure	n/a	1	n/a
102.016	0.333	FISSURE	lure	n/a	1	n/a
102.366	0.529	ANIMAL	lure	n/a	1	n/a
102.899	0.543	PARAPHRASE	lure	n/a	1	n/a
103.449	0.663	MOISTURE	lure	n/a	1	n/a
104.116	0.708	POSTCARD	lure	n/a	1	n/a
104.832	0.369	ROUNDUP	lure	n/a	1	n/a
105.216	0.358	VIOLENCE	lure	n/a	1	n/a
105.582	0.59	EVENT	lure	n/a	1	n/a
106.182	0.411	COSMOLOGY	lure	n/a	1	n/a
106.683	0.534	HERESY	lure	n/a	1	n/a
107.232	0.761	CEREBELLUM	lure	n/a	1	n/a
107.999	0.502	FEROCITY	lure	n/a	1	n/a
108.516	1.001	CHERRY	fruit	detect	1	595
109.532	0.502	RAZORBACK	lure	n/a	1	n/a
110.049	0.642	LIFEBLOOD	lure	n/a	1	n/a
110.699	0.709	CINDER	lure	n/a	1	n/a
111.416	0.725	EJECTOR	lure	n/a	1	n/a
112.149	0.394	STEALTH	lure	n/a	1	n/a
112.549	0.517	FOREARM	lure	n/a	1	n/a
113.082	0.538	TALENT	lure	n/a	1	n/a
113.632	0.7	INFLOW	lure	n/a	1	n/a
114.349	0.583	ABSURDITY	lure	n/a	1	n/a
114.949	0.558	PHONEBOOTH	lure	n/a	1	n/a
115.518	0.72	HOOKY	lure	n/a	1	n/a
116.251	0.516	BRICKYARD	lure	n/a	1	n/a
116.782	0.516	EXCLUSION	lure	n/a	1	n/a
117.316	0.63	CRYBABY	lure	n/a	1	n/a
117.949	0.59	THRIFT	lure	n/a	1	n/a
118.549	0.464	FOOTSIE	lure	n/a	1	n/a
119.099	0.895	STUDENT	lure	n/a	1	n/a
119.999	0.502	CARRYOUT	lure	n/a	1	n/a
120.516	0.602	CORD	short	n/a	1	n/a
121.132	0.502	TRINKET	lure	n/a	1	n/a
121.649	0.453	GOO	lure	n/a	1	n/a
122.116	0.544	DETERRENCE	lure	n/a	1	n/a
122.666	0.492	WOODSMAN	lure	n/a	1	n/a
123.17	0.611	SEAGULL	lure	n/a	1	n/a
123.799	0.478	CATARACT	lure	n/a	1	n/a
124.282	0.728	INDICTMENT	lure	n/a	1	n/a
125.016	0.39	BRILLIANCY	lure	n/a	1	n/a
125.415	0.31	TRILOGY	lure	n/a	1	n/a
125.732	0.544	AMENITY	lure	n/a	1	n/a
126.282	0.307	TIER	lure	n/a	1	n/a
126.599	0.466	HOOPLA	lure	n/a	1	n/a
127.082	0.912	LIBATION	lure	n/a	1	n/a
127.999	0.501	FATALISM	lure	n/a	1	n/a
128.515	0.601	CLOAK	short	n/a	1	n/a
129.132	0.717	MOTTO	lure	n/a	1	n/a
129.865	0.745	SIMPLICITY	lure	n/a	1	n/a
130.699	0.632	CHIFFON	lure	n/a	1	n/a
131.349	0.368	FINCH	lure	n/a	1	n/a
131.732	0.534	RAISER	lure	n/a	1	n/a
