onset	duration	cue	cond	resp	acc	RT
95.148	0.682	ORGANISM	lure	n/a	1	n/a
95.848	0.449	DOUBTER	lure	n/a	1	n/a
96.314	0.37	OINTMENT	lure	n/a	1	n/a
96.698	0.328	MISPRINT	lure	n/a	1	n/a
97.114	0.406	AHOY	lure	n/a	1	n/a
97.531	0.479	NEWCOMER	lure	n/a	1	n/a
98.014	0.73	ORIOLE	lure	n/a	1	n/a
98.748	0.388	HORSESHOE	lure	n/a	1	n/a
99.148	0.403	BOOKMOBILE	lure	n/a	1	n/a
99.564	0.459	BUTTONHOOK	lure	n/a	1	n/a
100.034	0.551	DAD	lure	n/a	1	n/a
100.598	0.75	MEMORANDUM	lure	n/a	1	n/a
101.364	0.665	IMPATIENCE	lure	n/a	1	n/a
102.048	0.68	SUNBURST	lure	n/a	1	n/a
102.731	0.599	MOOSE	lure	n/a	1	n/a
103.348	0.651	OBSERVER	lure	n/a	1	n/a
104.014	0.502	SPANNER	lure	n/a	1	n/a
104.531	0.603	LAKE	short	n/a	1	n/a
105.147	0.511	OUTSIDER	lure	n/a	1	n/a
105.664	0.44	CAMERAMAN	lure	n/a	1	n/a
106.114	0.492	FEEDBACK	lure	n/a	1	n/a
106.618	0.387	TOBACCO	lure	n/a	1	n/a
107.014	0.564	SLED	lure	n/a	1	n/a
107.597	0.336	WICK	lure	n/a	1	n/a
108.031	0.32	SYMBOLISM	lure	n/a	1	n/a
108.364	0.724	STOCKROOM	lure	n/a	1	n/a
109.097	0.326	FISHPOND	lure	n/a	1	n/a
109.431	0.321	COMBO	lure	n/a	1	n/a
109.764	0.493	WOMEN	lure	n/a	1	n/a
110.264	0.702	COWARDICE	lure	n/a	1	n/a
110.981	0.644	HONESTY	lure	n/a	1	n/a
111.631	0.36	PAPERBACK	lure	n/a	1	n/a
111.997	0.502	DECEDENT	lure	n/a	1	n/a
112.514	2.001	PISTOL	long	n/a	1	n/a
114.531	0.463	PALEFACE	lure	n/a	1	n/a
115.014	0.649	GENERALITY	lure	n/a	1	n/a
115.681	0.665	PATRON	lure	n/a	1	n/a
116.364	0.58	MEMENTO	lure	n/a	1	n/a
116.947	0.515	ANOMALY	lure	n/a	1	n/a
117.481	0.719	STRATEGIST	lure	n/a	1	n/a
118.214	0.317	TIGHTROPE	lure	n/a	1	n/a
118.547	0.445	ROBBER	lure	n/a	1	n/a
118.997	0.995	LACROSSE	lure	n/a	1	n/a
119.997	0.502	ENVELOPE	lure	n/a	1	n/a
120.581	2.003	GRAVEL	long	n/a	1	n/a
122.597	0.408	VERB	lure	n/a	1	n/a
123.014	0.51	NEARSIDE	lure	n/a	1	n/a
123.531	0.503	ESQUIRE	lure	n/a	1	n/a
124.047	0.496	RECTIFIER	lure	n/a	1	n/a
124.547	0.553	BRICKYARD	lure	n/a	1	n/a
125.114	0.57	HARMONICA	lure	n/a	1	n/a
125.697	0.302	ANIMAL	lure	n/a	1	n/a
126.014	0.503	BRAZIER	lure	n/a	1	n/a
126.531	2.002	BRAKE	long	n/a	1	n/a
128.547	0.548	MORTUARY	lure	n/a	1	n/a
129.114	0.558	TOPSOIL	lure	n/a	1	n/a
129.681	0.361	OPTIMIST	lure	n/a	1	n/a
130.047	0.639	BOOSTER	lure	n/a	1	n/a
130.697	0.633	SIXPENCE	lure	n/a	1	n/a
131.347	0.463	MISSY	lure	n/a	1	n/a
131.814	0.185	SEAPLANE	lure	n/a	1	n/a
132.014	0.501	DUET	lure	n/a	1	n/a
132.53	1.006	CRANBERRY	fruit	detect	1	754
133.547	0.496	VESTIBULE	lure	n/a	1	n/a
134.13	0.54	THYROID	lure	n/a	1	n/a
134.68	0.47	SURFBOARD	lure	n/a	1	n/a
135.164	0.514	SILICONE	lure	n/a	1	n/a
135.697	0.341	VIEWER	lure	n/a	1	n/a
136.047	0.644	RIDGE	lure	n/a	1	n/a
136.697	0.579	LIVESTOCK	lure	n/a	1	n/a
137.28	0.747	SAUCEPAN	lure	n/a	1	n/a
138.047	0.733	BETRAYAL	lure	n/a	1	n/a
138.797	0.638	GADGET	lure	n/a	1	n/a
139.447	0.333	SPUD	lure	n/a	1	n/a
139.797	0.745	PASTOR	lure	n/a	1	n/a
140.547	0.542	INTUITION	lure	n/a	1	n/a
141.101	0.484	IMPAIRMENT	lure	n/a	1	n/a
141.597	0.395	ARROGANCE	lure	n/a	1	n/a
141.997	0.503	PANACEA	lure	n/a	1	n/a
142.514	0.603	PIN	short	n/a	1	n/a
143.13	0.609	QUICKSAND	lure	n/a	1	n/a
143.747	0.309	LABYRINTH	lure	n/a	1	n/a
144.064	0.305	PHYSIOLOGY	lure	n/a	1	n/a
144.381	0.415	SIMULATION	lure	n/a	1	n/a
144.88	0.678	STIRRUP	lure	n/a	1	n/a
145.564	0.458	CREWMEN	lure	n/a	1	n/a
146.03	0.596	ABSENCE	lure	n/a	1	n/a
146.63	0.564	FLATTERY	lure	n/a	1	n/a
147.214	0.586	OGRE	lure	n/a	1	n/a
147.814	0.436	ELEVATION	lure	n/a	1	n/a
148.264	0.31	COLLECTOR	lure	n/a	1	n/a
148.58	0.398	COOKBOOK	lure	n/a	1	n/a
148.997	0.399	RIDDANCE	lure	n/a	1	n/a
149.414	0.368	TRIANGLE	lure	n/a	1	n/a
149.797	0.552	PINWHEEL	lure	n/a	1	n/a
150.364	0.498	RAINBOW	lure	n/a	1	n/a
150.88	0.522	HARMONY	lure	n/a	1	n/a
151.414	0.577	REGISTRAR	lure	n/a	1	n/a
151.997	0.502	CLARITY	lure	n/a	1	n/a
152.514	2.003	GALLON	long	n/a	1	n/a
154.53	0.705	COMPANY	lure	n/a	1	n/a
155.247	0.653	STOCKPOT	lure	n/a	1	n/a
155.913	0.691	BOURBON	lure	n/a	1	n/a
156.613	0.481	WINDBAG	lure	n/a	1	n/a
157.18	0.562	TEACAKE	lure	n/a	1	n/a
157.747	0.244	TANTRUM	lure	n/a	1	n/a
157.997	0.502	ANTONYM	lure	n/a	1	n/a
158.513	1.003	PLUM	fruit	n/a	0	n/a
159.53	0.439	DOE	lure	detect	0	3
159.98	0.39	LANDLORD	lure	n/a	1	n/a
160.38	0.387	GOSPEL	lure	n/a	1	n/a
160.78	0.72	RAINDROP	lure	n/a	1	n/a
161.513	0.315	BINGO	lure	n/a	1	n/a
161.847	0.549	HATCHERY	lure	n/a	1	n/a
162.413	0.512	EAGLE	lure	n/a	1	n/a
162.93	0.389	ABBOT	lure	n/a	1	n/a
163.33	0.663	STEREO	lure	n/a	1	n/a
163.997	0.528	DARLING	lure	n/a	1	n/a
164.53	0.456	AUTOLOADER	lure	n/a	1	n/a
164.997	0.398	BEESWAX	lure	n/a	1	n/a
165.413	0.354	WALLBOARD	lure	n/a	1	n/a
165.78	0.433	AMBULANCE	lure	n/a	1	n/a
166.23	0.584	SIGNALMAN	lure	n/a	1	n/a
166.83	0.633	PACKAGE	lure	n/a	1	n/a
167.547	0.444	En/aOLLMENT	lure	n/a	1	n/a
167.997	0.502	HAMLET	lure	n/a	1	n/a
168.513	0.601	PYRAMID	short	n/a	1	n/a
169.13	0.682	LETTUCE	lure	n/a	1	n/a
169.83	0.615	TEACHER	lure	n/a	1	n/a
170.463	0.506	GARDENER	lure	n/a	1	n/a
170.98	0.305	RESPONSE	lure	n/a	1	n/a
171.297	0.515	FINESSE	lure	n/a	1	n/a
171.83	0.437	THEORIST	lure	n/a	1	n/a
172.28	0.635	HORSEHAIR	lure	n/a	1	n/a
172.93	0.332	TOUPEE	lure	n/a	1	n/a
173.283	0.334	BEDPOST	lure	n/a	1	n/a
173.63	0.507	INFAMY	lure	n/a	1	n/a
174.147	0.431	SPOKESMEN	lure	n/a	1	n/a
174.597	0.686	RARITY	lure	n/a	1	n/a
175.297	0.604	RAFT	lure	n/a	1	n/a
175.913	0.077	GUNSLINGER	lure	n/a	1	n/a
175.997	0.501	REACTOR	lure	n/a	1	n/a
176.513	0.602	BANNER	short	n/a	1	n/a
177.13	0.356	PRIMACY	lure	n/a	1	n/a
177.58	0.657	LIBERALITY	lure	n/a	1	n/a
178.246	0.551	ROBIN	lure	n/a	1	n/a
178.813	0.357	BOUQUET	lure	n/a	1	n/a
179.18	0.696	SESAME	lure	n/a	1	n/a
179.88	0.48	PLASM	lure	n/a	1	n/a
180.38	0.314	SHIPMENT	lure	n/a	1	n/a
180.713	0.662	RINGSIDE	lure	n/a	1	n/a
181.38	0.567	MARSUPIAL	lure	n/a	1	n/a
181.963	0.68	CEMETERY	lure	n/a	1	n/a
182.646	0.674	FEMUR	lure	n/a	1	n/a
183.334	0.388	CHERUB	lure	n/a	1	n/a
183.733	0.309	MERCER	lure	n/a	1	n/a
184.046	0.486	ZEST	lure	n/a	1	n/a
184.546	0.428	BANDSTAND	lure	n/a	1	n/a
184.98	1.011	REGION	lure	n/a	1	n/a
185.996	0.502	UNION	lure	n/a	1	n/a
186.513	0.602	BRIDGE	short	n/a	1	n/a
187.13	0.521	TROOPSHIP	lure	n/a	1	n/a
187.663	0.415	DISK	lure	n/a	1	n/a
188.096	0.46	DISCOURSE	lure	n/a	1	n/a
188.646	0.585	HANDFUL	lure	n/a	1	n/a
189.246	0.588	PONY	lure	n/a	1	n/a
189.846	0.607	FLUX	lure	n/a	1	n/a
190.465	0.613	GASMASK	lure	n/a	1	n/a
191.096	0.593	BIGHEAD	lure	n/a	1	n/a
191.696	0.466	BASSET	lure	n/a	1	n/a
192.18	0.327	REIN	lure	n/a	1	n/a
192.513	0.326	GUNBOAT	lure	n/a	1	n/a
192.846	0.637	EMERGENCY	lure	n/a	1	n/a
193.496	0.493	PAPERBOY	lure	n/a	1	n/a
193.996	0.502	LINEMEN	lure	n/a	1	n/a
194.513	2.002	CHALK	long	n/a	1	n/a
196.53	0.642	CROCKERY	lure	n/a	1	n/a
197.184	0.636	INVESTOR	lure	n/a	1	n/a
197.832	0.601	POINSETTIA	lure	n/a	1	n/a
198.446	0.435	SYMPTOM	lure	n/a	1	n/a
198.896	0.398	FILMSTRIP	lure	n/a	1	n/a
199.313	0.668	CAPITAL	lure	n/a	1	n/a
199.996	0.308	BUSTLE	lure	n/a	1	n/a
200.313	0.744	PRIMER	lure	n/a	1	n/a
201.146	0.845	LETTERHEAD	lure	n/a	1	n/a
201.996	0.502	BRA	lure	n/a	1	n/a
202.513	0.603	SPARK	short	n/a	1	n/a
203.129	0.554	MAYOR	lure	n/a	1	n/a
203.696	0.382	PARCEL	lure	n/a	1	n/a
204.096	0.707	STALLION	lure	n/a	1	n/a
204.813	0.703	BOOKIE	lure	n/a	1	n/a
205.529	0.369	MARTYRDOM	lure	n/a	1	n/a
205.913	0.608	NETTLE	lure	n/a	1	n/a
206.53	0.465	PRAT	lure	n/a	1	n/a
207.013	0.575	RUBDOWN	lure	n/a	1	n/a
207.596	0.501	CLOSET	lure	n/a	1	n/a
208.113	0.422	ASSOn/aCE	lure	n/a	1	n/a
208.546	0.345	BLOWFISH	lure	n/a	1	n/a
208.896	0.585	BEAST	lure	n/a	1	n/a
209.496	0.672	ATROCITY	lure	n/a	1	n/a
210.179	0.538	ASSUMPTION	lure	n/a	1	n/a
210.729	0.575	TURBAN	lure	n/a	1	n/a
211.316	0.675	BREAKAGE	lure	n/a	1	n/a
211.996	0.503	TURBINE	lure	n/a	1	n/a
212.579	2.001	MAZE	long	n/a	1	n/a
214.596	0.582	BULL	lure	n/a	1	n/a
215.196	0.463	BREAKER	lure	n/a	1	n/a
215.663	0.749	REVENGE	lure	n/a	1	n/a
216.429	0.582	FREEDMEN	lure	n/a	1	n/a
217.029	0.689	INFINITIVE	lure	n/a	1	n/a
217.729	0.749	SEABOARD	lure	n/a	1	n/a
218.496	0.625	HOUSEWORK	lure	n/a	1	n/a
219.129	0.647	FLASHLIGHT	lure	n/a	1	n/a
219.796	0.194	LOCALE	lure	n/a	1	n/a
219.996	0.502	DINGO	lure	n/a	1	n/a
220.513	1.002	ELDERBERRY	fruit	detect	1	852
221.529	0.454	STEAMSHIP	lure	n/a	1	n/a
221.996	0.735	EYEBROW	lure	n/a	1	n/a
222.746	0.391	WITCH	lure	n/a	1	n/a
223.146	0.707	BROWNSTONE	lure	n/a	1	n/a
223.863	0.538	PORTRAIT	lure	n/a	1	n/a
224.413	0.48	THEOLOGY	lure	n/a	1	n/a
224.896	0.629	BONNET	lure	n/a	1	n/a
225.529	0.702	BEACON	lure	n/a	1	n/a
226.329	0.426	DELIVERY	lure	n/a	1	n/a
226.763	0.684	INFLUENZA	lure	n/a	1	n/a
227.462	0.535	BURGLARY	lure	n/a	1	n/a
228.012	0.412	FALLOFF	lure	n/a	1	n/a
228.429	0.691	POSTCARD	lure	n/a	1	n/a
229.129	0.449	HEREDITY	lure	n/a	1	n/a
229.596	0.415	PROWLER	lure	n/a	1	n/a
230.029	0.438	WHARF	lure	n/a	1	n/a
230.479	0.38	DUALISM	lure	n/a	1	n/a
230.863	1.129	INNING	lure	n/a	1	n/a
231.996	0.502	DUNE	lure	n/a	1	n/a
232.512	2.001	PUPPET	long	n/a	1	n/a
234.529	0.357	FARMYARD	lure	n/a	1	n/a
234.898	0.586	MIDGET	lure	n/a	1	n/a
235.496	0.517	DOLLHOUSE	lure	n/a	1	n/a
236.029	0.586	LAPEL	lure	n/a	1	n/a
236.629	0.33	SPECTATOR	lure	n/a	1	n/a
236.962	0.535	REMOVAL	lure	n/a	1	n/a
237.512	0.305	SHEEP	lure	n/a	1	n/a
237.829	0.545	PALETTE	lure	n/a	1	n/a
238.462	0.672	OFFENSE	lure	n/a	1	n/a
239.146	0.687	TAKER	lure	n/a	1	n/a
239.846	0.437	ERA	lure	n/a	1	n/a
240.296	0.382	PROTESTER	lure	n/a	1	n/a
240.696	0.7	UNCLE	lure	n/a	1	n/a
241.412	0.41	CHESSBOARD	lure	n/a	1	n/a
241.829	0.487	OAF	lure	n/a	1	n/a
242.329	0.654	PLOY	lure	n/a	1	n/a
242.996	0.511	WOODYARD	lure	n/a	1	n/a
243.515	0.578	DUDE	lure	n/a	1	n/a
244.112	0.384	INCUBATOR	lure	n/a	1	n/a
244.512	0.468	TUNDRA	lure	n/a	1	n/a
244.996	0.312	BREEDER	lure	n/a	1	n/a
245.312	0.597	DUNCE	lure	n/a	1	n/a
245.929	0.408	BANQUET	lure	n/a	1	n/a
246.346	0.651	CELERY	lure	n/a	1	n/a
247.012	0.491	CINNAMON	lure	n/a	1	n/a
247.512	0.34	LIBERATOR	lure	n/a	1	n/a
247.862	0.387	MESSAGE	lure	n/a	1	n/a
248.262	0.433	SURNAME	lure	n/a	1	n/a
248.779	0.749	FOLLOWER	lure	n/a	1	n/a
249.546	0.643	THEATER	lure	n/a	1	n/a
250.2	0.315	FAIRYLAND	lure	n/a	1	n/a
250.529	0.619	CREATURE	lure	n/a	1	n/a
251.162	0.342	RETRIEVAL	lure	n/a	1	n/a
251.512	0.623	THEFT	lure	n/a	1	n/a
252.145	0.695	PROSTATE	lure	n/a	1	n/a
252.845	0.621	EUPHORIA	lure	n/a	1	n/a
253.479	0.64	SOLACE	lure	n/a	1	n/a
254.131	0.628	HANDBAG	lure	n/a	1	n/a
254.762	0.416	MISFORTUNE	lure	n/a	1	n/a
255.195	0.417	BOARDER	lure	n/a	1	n/a
255.629	0.38	VIRTUE	lure	n/a	1	n/a
256.012	0.315	UPSTART	lure	n/a	1	n/a
256.345	0.588	CONFESSOR	lure	n/a	1	n/a
256.945	0.7	VIXEN	lure	n/a	1	n/a
257.662	0.365	NUN	lure	n/a	1	n/a
268.029	0.697	ANTLER	lure	n/a	1	n/a
268.745	0.408	ECLIPSE	lure	n/a	1	n/a
269.162	0.83	HERO	lure	n/a	1	n/a
270.079	0.501	HEADPIECE	lure	n/a	1	n/a
270.612	0.601	PIN	short	n/a	1	n/a
271.229	0.73	INDUSTRY	lure	n/a	1	n/a
271.962	0.419	RAISER	lure	n/a	1	n/a
272.395	0.31	CLAPPER	lure	n/a	1	n/a
272.712	0.698	CUCKOO	lure	n/a	1	n/a
273.429	0.498	NOZZLE	lure	n/a	1	n/a
273.945	0.67	BIGAMIST	lure	n/a	1	n/a
274.629	0.35	TRILOGY	lure	n/a	1	n/a
274.995	0.343	LOCKSMITH	lure	n/a	1	n/a
275.349	0.414	DEER	lure	n/a	1	n/a
275.779	0.592	COCA	lure	n/a	1	n/a
276.378	0.728	CONCORD	lure	n/a	1	n/a
277.112	0.662	PATTY	lure	n/a	1	n/a
277.779	0.213	AMMUNITION	lure	n/a	1	n/a
277.995	0.503	WEEKNIGHT	lure	n/a	1	n/a
278.512	1.004	PEACH	fruit	detect	1	885
279.528	0.58	KIDDER	lure	n/a	1	n/a
280.112	0.676	FISHBONE	lure	n/a	1	n/a
280.795	0.705	BREASTBONE	lure	n/a	1	n/a
281.578	0.335	JAWBREAKER	lure	n/a	1	n/a
281.928	0.504	SKYWAY	lure	n/a	1	n/a
282.445	0.5	CADDIE	lure	n/a	1	n/a
282.962	0.588	QUOTA	lure	n/a	1	n/a
283.562	0.51	CHUTE	lure	n/a	1	n/a
284.078	0.363	PREDATOR	lure	n/a	1	n/a
284.445	0.6	CLOVE	lure	n/a	1	n/a
285.062	0.485	MINUTEMAN	lure	n/a	1	n/a
285.562	0.727	CACHE	lure	n/a	1	n/a
286.295	0.642	VOCALISM	lure	n/a	1	n/a
286.945	0.57	CAPRICE	lure	n/a	1	n/a
287.528	0.476	DENIAL	lure	n/a	1	n/a
288.016	0.574	STAGNATION	lure	n/a	1	n/a
288.595	0.441	GUESTHOUSE	lure	n/a	1	n/a
289.045	0.946	SALESLADY	lure	n/a	1	n/a
289.995	0.501	INKLING	lure	n/a	1	n/a
290.512	0.602	COAL	short	n/a	1	n/a
291.128	0.691	LUNGPOWER	lure	n/a	1	n/a
291.831	0.596	ADOBE	lure	n/a	1	n/a
292.445	0.491	BOOKEND	lure	n/a	1	n/a
293.028	0.324	PAPERWORK	lure	n/a	1	n/a
293.362	0.43	LEPRECHAUN	lure	n/a	1	n/a
293.795	0.593	CALIBER	lure	n/a	1	n/a
294.395	0.54	IMPRINT	lure	n/a	1	n/a
294.945	0.41	REGRESSION	lure	n/a	1	n/a
295.362	0.431	PERSECUTOR	lure	n/a	1	n/a
295.795	0.504	ADAPTATION	lure	n/a	1	n/a
296.312	0.719	CONCEPTION	lure	n/a	1	n/a
297.045	0.354	STAGECOACH	lure	n/a	1	n/a
297.412	0.572	HOUSEBOY	lure	n/a	1	n/a
297.995	0.5	WOMANKIND	lure	n/a	1	n/a
298.512	2.002	PISTOL	long	n/a	1	n/a
300.528	0.305	FLORIST	lure	n/a	1	n/a
300.845	0.401	ICEBREAKER	lure	n/a	1	n/a
301.261	0.737	CATERER	lure	n/a	1	n/a
302.012	0.368	ORATION	lure	n/a	1	n/a
302.395	0.326	DEVIANCY	lure	n/a	1	n/a
302.728	0.736	POLICEMAN	lure	n/a	1	n/a
303.478	0.691	BUTLER	lure	n/a	1	n/a
304.178	0.484	GLEANER	lure	n/a	1	n/a
304.745	0.505	PORTRAYAL	lure	n/a	1	n/a
305.261	0.73	PRISONER	lure	n/a	1	n/a
306.011	0.501	MOONBEAM	lure	n/a	1	n/a
306.528	1.001	GOOSEBERRY	fruit	detect	1	869
307.545	0.545	CYNIC	lure	n/a	1	n/a
